eta,ata,atd,vesseldwt,vesseltype,discharge1,load1,discharge2,load2,discharge3,load3,discharge4,load4,stevedorenames,hasnohamis,earliesteta,latesteta,traveltype,previousportid,nextportid,isremarkable,vesselid
2017-04-15 14:00:00+00,2017-04-15 00:00:00+00,2017-05-09 00:00:00+00,99230,5,10,100,0,0,0,0,0,0,"Stevedore_89,Stevedore_104",,2017-04-13 14:00:00+00,2017-05-01 14:00:00+00,SHIFT,606,68,f,1
2017-04-24 14:00:00+00,2017-04-25 00:00:00+00,2017-05-09 00:00:00+00,81117,2,10,8,100,0,0,0,0,0,Stevedore_26,,2017-04-24 14:00:00+00,2017-04-24 14:00:00+00,ARRIVAL,252,18,f,2
2017-04-25 14:00:00+00,2017-04-26 00:00:00+00,2017-05-03 00:00:00+00,9813,3,0,20,0,0,0,0,0,0,Stevedore_89,,2017-04-25 14:00:00+00,2017-04-25 14:00:00+00,ARRIVAL,156,1156,f,3
2017-04-30 14:00:00+00,2017-04-27 00:00:00+00,2017-05-04 00:00:00+00,49727,5,0,0,0,0,0,0,0,0,"Stevedore_49,Stevedore_76",,2017-04-26 14:00:00+00,2017-04-30 14:00:00+00,SHIFT,218,18,f,4
2017-05-06 14:00:00+00,2017-04-27 00:00:00+00,2017-05-09 00:00:00+00,100257,5,0,0,0,3,0,0,0,0,"Stevedore_89,Stevedore_83",,2017-04-26 14:00:00+00,2017-05-06 14:00:00+00,SHIFT,981,981,f,5
2017-05-01 14:00:00+00,2017-04-28 00:00:00+00,2017-05-05 00:00:00+00,7177,3,0,0,0,0,0,0,0,0,"Stevedore_45,Stevedore_74",,2017-04-27 14:00:00+00,2017-05-02 14:00:00+00,SHIFT,1000,23,f,6
2017-04-28 14:00:00+00,2017-04-29 00:00:00+00,2017-05-01 00:00:00+00,117176,3,0,0,0,97,0,0,0,0,Stevedore_29,,2017-04-28 14:00:00+00,2017-04-28 14:00:00+00,ARRIVAL,337,31,f,7
2017-04-29 14:00:00+00,2017-04-29 00:00:00+00,2017-05-01 00:00:00+00,10977,3,0,0,0,0,0,0,0,0,"Stevedore_98,Stevedore_64,Stevedore_99,Stevedore_28,Stevedore_29,Stevedore_57",,2017-04-28 14:00:00+00,2017-04-29 14:00:00+00,SHIFT,18,14,f,8
2017-05-01 14:00:00+00,2017-04-29 00:00:00+00,2017-05-05 00:00:00+00,22198,5,0,0,0,0,0,0,0,0,"Stevedore_112,Stevedore_104,Stevedore_106",,2017-04-28 14:00:00+00,2017-05-01 14:00:00+00,SHIFT,269,31,f,9
2017-05-03 14:00:00+00,2017-04-29 00:00:00+00,2017-05-09 00:00:00+00,45479,5,0,0,0,0,0,0,0,0,"Stevedore_89,Stevedore_75,Stevedore_88",,2017-04-28 14:00:00+00,2017-05-03 14:00:00+00,SHIFT,1654,18,f,10
2017-04-30 14:00:00+00,2017-04-30 00:00:00+00,2017-05-05 00:00:00+00,126355,5,0,0,0,0,0,0,0,0,"Stevedore_83,Stevedore_110",,2017-04-29 14:00:00+00,2017-04-30 14:00:00+00,SHIFT,38,981,f,11
